,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
2372,Journal of Acupuncture and Meridian Studies, 2005-2901,,,,
2373,Journal of Acute Disease, 2221-6189,,,,
2374,Journal of Acute Medicine, 2211-5587,,,,
2375,Journal of Adolescence, 0140-1971,,,,
2376,Journal of Adolescent Health,, 1879-1972, 1054-139X,,7.6
2377,Journal of Adolescent Health Care, 0197-0070,,,,
2378,Journal of Advanced Joining Processes,, 2666-3309,,,4.1
2379,Journal of Advanced Research,, 2090-1224, 2090-1232,,10.7
2380,Journal of Aerosol Science,, 1879-1964, 0021-8502,,4.5
2381,Journal of Affective Disorders,, 1573-2517, 0165-0327,,6.6
2382,Journal of Affective Disorders Reports,, 2666-9153,,,6.6
2383,Journal of African Earth Sciences,, 1879-1956, 1464-343X,,2.3
2384,Journal of African Earth Sciences (and the Middle East), 0899-5362,,,,
2385,Journal of African Earth Sciences (1983), 0731-7247,,,,
2386,Journal of African Trade, 2214-8515,,,,
2387,Journal of Aging Studies,, 1879-193X, 0890-4065,,2.3
2388,Journal of Agricultural Engineering Research, 0021-8634,,,,
2389,Journal of Agriculture and Food Research,, 2666-1543,,,3.8
2390,Journal of Air Medical Transport, 1046-9095,,,,
2391,Journal of Air Transport Management,, 1873-2089, 0969-6997,,6
2392,Journal of Algebra,, 1090-266X, 0021-8693,,0.9
2393,Journal of Algorithms, 0196-6774,,,,
2394,Journal of Allergy, 0021-8707,,,,
2395,Journal of Allergy and Clinical Immunology,, 1097-6825, 0091-6749,,14.2
2396,Journal of Allergy and Clinical Immunology: Global, 2772-8293,,,,
2397,The Journal of Allergy and Clinical Immunology: In Practice,, 2213-2201, 2213-2198,,9.4
2398,Journal of Allergy and Hypersensitivity Diseases, 2950-3124,,,,
2399,Journal of Alloys and Compounds,, 1873-4669, 0925-8388,,6.2
2400,Journal of Alloys and Metallurgical Systems, 2949-9178,,,,6.2
2401,Journal of the American Academy of Child & Adolescent Psychiatry,, 1527-5418, 0890-8567,,13.3
2402,Journal of the American Academy of Child Psychiatry, 0002-7138,,,,
2403,Journal of the American Academy of Dermatology,, 1097-6787, 0190-9622,,13.8
2404,The Journal of the American Association of Gynecologic Laparoscopists, 1074-3804,,,,
2405,Journal of the American Association of Instructors and Investigators of Poultry Husbandry, 2666-3651,,,,
2406,Journal of American Association for Pediatric Ophthalmology and Strabismus,, 1528-3933, 1091-8531,,1.6
2407,Journal of the American College of Cardiology,, 1558-3597, 0735-1097,,24
2408,The Journal of the American College of Certified Wound Specialists, 1876-4983,,,,
2409,Journal of the American College of Clinical Wound Specialists, 2213-5103,,,,
2410,Journal of the American College of Emergency Physicians, 0361-1124,,,,
2411,Journal of the American College of Radiology,, 1558-349X, 1546-1440,,4.5
2412,Journal of the American College of Surgeons, 1072-7515,,,,
2413,The Journal of the American Dental Association,, 1943-4723, 0002-8177,,3.9
2414,The Journal of the American Dental Association and The Dental Cosmos, 0375-8451,,,,
2415,The Journal of the American Dental Association (1922), 1048-6364,,,,
2416,Journal of the American Dietetic Association, 0002-8223,,,,
2417,Journal of the American Medical Directors Association,, 1538-9375, 1525-8610,,7.6
2418,Journal of the American Medical Informatics Association, 1067-5027,,,,
2419,Journal of the American Pharmaceutical Association (Practical Pharmacy ed.), 0095-9561,,,,
2420,Journal of the American Pharmaceutical Association (Scientific ed.), 0095-9553,,,,
2421,The Journal of the American Pharmaceutical Association (1912), 0898-140X,,,,
2422,Journal of the American Pharmaceutical Association (1961), 0003-0465,,,,
2423,Journal of the American Pharmaceutical Association (1996), 1086-5802,,,,
2424,Journal of the American Pharmacists Association,, 1544-3450, 1544-3191,,2.1
2425,Journal of the American Psychiatric Nurses Association, 1078-3903,,,,
2426,Journal of the American Society of Cytopathology,, 2213-2953, 2213-2945,,
2427,Journal of the American Society of Echocardiography,, 1097-6795, 0894-7317,,6.5
2428,Journal of the American Society of Hypertension, 1933-1711,,,,
2429,Journal of the American Society for Mass Spectrometry, 1044-0305,,,,
2430,Journal of the American Society for Surgery of the Hand, 1531-0914,,,,
2431,Journal of Analytical and Applied Pyrolysis,, 1873-250X, 0165-2370,,6
2432,Journal of the Anatomical Society of India, 0003-2778,,,,
2433,Journal of Anesthesia History, 2352-4529,,,,
2434,Journal of Anthropological Archaeology,, 1090-2686, 0278-4165,,1.8
2435,Journal des Anti-infectieux, 2210-6545,,,,
2436,Journal of Anxiety Disorders,, 1873-7897, 0887-6185,,10.3
2437,Journal of Applied Biomedicine, 1214-021X,,,,
2438,Journal of Applied Developmental Psychology,, 1873-7900, 0193-3973,,3
2439,Journal of Applied Economics, 1514-0326,,,,
2440,Journal of Applied Geophysics,, 1879-1859, 0926-9851,,2
2441,Journal of Applied Logic, 1570-8683,,,,
2442,Journal of Applied Mathematics and Mechanics, 0021-8928,,,,
2443,Journal of Applied Poultry Research,, 1537-0437, 1056-6171,,1.9
2444,Journal of Applied Research on Medicinal and Aromatic Plants,, 2214-7861,,,3.9
2445,Journal of Applied Research in Memory and Cognition, 2211-3681,,,,
2446,Journal of Applied Research and Technology, 1665-6423,,,,
2447,Journal of Approximation Theory,, 1096-0430, 0021-9045,,0.9
2448,Journal of Archaeological Science,, 1095-9238, 0305-4403,,2.8
2449,Journal of Archaeological Science: Reports,, 2352-4103, 2352-409X,,1.6
2450,Journal of Arid Environments,, 1095-922X, 0140-1963,,2.7
2451,Journal of Arrhythmia, 1880-4276,,,,
2452,The Journal of Arthroplasty,, 1532-8406, 0883-5403,,3.5
2453,Journal of Arthroscopy and Joint Surgery, 2214-9635,,,,
2454,Journal of Asia-Pacific Biodiversity,, 2287-9544, 2287-884X,,0.8
2455,Journal of Asia-Pacific Entomology,, 1876-7990, 1226-8615,,1.5
2456,Journal of Asian Ceramic Societies, 2187-0764,,,,
2457,Journal of Asian Earth Sciences,, 1878-5786, 1367-9120,,3
2458,Journal of Asian Earth Sciences: X,, 2590-0560,,,3
2459,Journal of Asian Economics,, 1873-7927, 1049-0078,,3.2
2460,Journal of the Association of Arab Universities for Basic and Applied Sciences, 1815-3852,,,,
2461,Journal of the Association of Nurses in AIDS Care, 1055-3290,,,,
2462,Journal of the Association for Vascular Access, 1552-8855,,,,
2463,Journal of the Association of Veterinary Anaesthetists of Great Britain and Ireland, 0950-7817,,,,
2464,Journal of Atherosclerosis Research, 0368-1319,,,,
2465,Journal of Atmospheric and Solar-Terrestrial Physics,, 1879-1824,, 1364-6826,1.9
2466,Journal of Atmospheric and Terrestrial Physics, 0021-9169,,,,
2467,Journal of Autoimmunity,, 1095-9157, 0896-8411,,12.8
2468,Journal of Automation and Intelligence, 2949-8554,,,,
2469,Journal of the Autonomic Nervous System, 0165-1838,,,,
2470,Journal of Ayurveda and Integrative Medicine,, 0976-2809, 0975-9476,,2.4
2471,Journal of Banking & Finance,, 1872-6372, 0378-4266,,3.7
2472,The Journal of Basic & Applied Zoology, 2090-9896,,,,
2473,"Journal of Behavior, Health & Social Issues", 2007-0780,,,,
2474,Journal of Behavior Therapy and Experimental Psychiatry,, 1873-7943, 0005-7916,,1.8
2475,Journal of Behavioral and Cognitive Therapy,, 2589-9791, 2666-3473,,
2476,Journal of Behavioral Economics, 0090-5720,,,,
2477,Journal of Behavioral and Experimental Economics,, 2214-8051, 2214-8043,,1.6
2478,Journal of Behavioral and Experimental Finance,, 2214-6369, 2214-6350,,6.6
2479,Journal of Biochemical and Biophysical Methods, 0165-022X,,,,
2480,Journal of Biological Chemistry,, 1083-351X,, 0021-9258,5.5
2481,Journal of Biological Standardization, 0092-1157,,,,
2482,Journal of Biomechanics,, 1873-2380, 0021-9290,,2.4
2483,Journal of Biomedical Engineering, 0141-5425,,,,
2484,Journal of Biomedical Informatics,, 1532-0480, 1532-0464,,4.5
2485,Journal of Biomedical Research, 1674-8301,,,,
2486,Journal of Bionic Engineering, 1672-6529,,,,
2487,Journal of Bioresources and Bioproducts,, 2369-9698,,,
2488,Journal of Biosafety and Biosecurity,, 2588-9338,,,
2489,Journal of Bioscience and Bioengineering,, 1347-4421, 1389-1723,,2.8
2490,Journal of Biotechnology,, 1873-4863, 0168-1656,,4.1
2491,Journal of Bodywork and Movement Therapies,, 1532-9283, 1360-8592,,1.4
2492,Journal of Bone Oncology,, 2212-1374, 2212-1366,,3.4
2493,Journal of The British Contact Lens Association, 0141-7037,,,,
2494,Journal of Building Engineering,, 2352-7102,,,6.4
2495,Journal of Business Research,, 1873-7978, 0148-2963,,11.3
2496,Journal of Business Venturing,, 1873-2003, 0883-9026,,8.7
2497,Journal of Business Venturing Design,, 2667-2774,,,
2498,Journal of Business Venturing Insights,, 2352-6734,,,
2499,Journal of Cancer Nursing, 1364-9825,,,,
2500,Journal of Cancer Policy,, 2213-5383,,,1.3
2501,Journal of Cancer Research and Practice, 2311-3006,,,,
2502,Journal of Carbohydrate Chemistry, 0732-8303,,,,
2503,Journal of Cardiac Failure,, 1532-8414, 1071-9164,,6
2504,Journal of Cardiology,, 1876-4738, 0914-5087,,2.5
2505,Journal of Cardiology Cases,, 1878-5409,,,
2506,Journal of Cardiothoracic Anesthesia, 0888-6296,,,,
2507,Journal of Cardiothoracic-Renal Research, 1574-0668,,,,
2508,Journal of Cardiothoracic and Vascular Anesthesia,, 1532-8422, 1053-0770,,2.8
2509,Journal of Cardiovascular Computed Tomography,, 1876-861X, 1934-5925,,5.4
2510,Journal of Cardiovascular Disease Research, 0975-3583,,,,
2511,Journal of Cardiovascular Echography, 2211-4122,,,,
2512,Journal of Cardiovascular Magnetic Resonance, 1097-6647,,,,
2513,Journal of Cartilage & Joint Preservation,, 2667-2545,,,
2514,Journal of Catalysis,, 1090-2694, 0021-9517,,7.3
2515,Journal of Cataract & Refractive Surgery, 0886-3350,,,,
2516,Journal of Cellular Immunotherapy, 2352-1775,,,,
2517,Journal of Cereal Science,, 1095-9963, 0733-5210,,3.8
2518,Journal of Chemical Health and Safety, 1871-5532,,,,
2519,Journal of Chemical Neuroanatomy,, 1873-6300, 0891-0618,,2.8
2520,The Journal of Chemical Thermodynamics,, 1096-3626, 0021-9614,,2.6
2521,The Journal of China Universities of Posts and Telecommunications, 1005-8885,,,,
2522,Journal of China University of Geosciences, 1002-0705,,,,
2523,Journal of China University of Mining and Technology, 1006-1266,,,,
2524,Journal of Chinese Humanities, 2352-1333,,,,
2525,Journal of the Chinese Institute of Chemical Engineers, 0368-1653,,,,
2526,Journal of the Chinese Medical Association, 1726-4901,,,,
2527,Journal of Chiropractic Humanities,, 1556-3499,,,
2528,Journal of Chiropractic Medicine,, 1556-3715, 1556-3707,,0.9
2529,Journal de Chirurgie, 0021-7697,,,,
2530,Journal de Chirurgie Viscérale,, 1878-7878, 1878-786X,,
2531,Journal of Choice Modelling,, 1755-5345,,,2.4
2532,Journal of Chromatography A,, 1873-3778, 0021-9673,,4.1
2533,Journal of Chromatography B,, 1873-376X, 1570-0232,,3
2534,Journal of Chromatography B: Biomedical Sciences and Applications, 0378-4347,,,,
2535,Journal of Chromatography Open,, 2772-3917,,,
2536,Journal of Chronic Diseases, 0021-9681,,,,
2537,Journal of Cleaner Production,, 1879-1786, 0959-6526,,11.1
2538,The Journal of Climate Change and Health,, 2667-2782,,,
2539,Journal of Climate Finance, 2949-7280,,,,
2540,Journal of Clinical Anesthesia,, 1873-4529, 0952-8180,,6.7
2541,Journal of Clinical Densitometry,, 1559-0747, 1094-6950,,2.5
2542,Journal of Clinical Epidemiology,, 1878-5921, 0895-4356,,7.2
2543,Journal of Clinical and Experimental Hepatology,, 2213-3453, 0973-6883,,3
2544,Journal of Clinical Forensic Medicine, 1353-1131,,,,
2545,Journal of Clinical Gerontology and Geriatrics, 2210-8335,,,,
2546,Journal of Clinical Lipidology,, 1876-4789, 1933-2874,,4.4
2547,Journal of Clinical Neuroscience,, 1532-2653, 0967-5868,,2
2548,Journal of Clinical Orthopaedics and Trauma,, 2213-3445, 0976-5662,,
2549,Journal of Clinical and Translational Endocrinology: Case Reports,, 2214-6245,,,3
2550,Journal of Clinical & Translational Endocrinology,, 2214-6237,,,3
2551,Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,, 2405-5794,,,2
2552,Journal of Clinical Virology,, 1873-5967, 1386-6532,,8.8
2553,Journal of Clinical Virology Plus,, 2667-0380,,,1.7
2554,Journal of Colloid and Interface Science,, 1095-7103, 0021-9797,,9.9
2555,Journal of Colloid Science, 0095-8522,,,,
2556,Journal of Coloproctology, 2237-9363,,,,
2557,Journal of Combinatorial Theory, 0021-9800,,,,
2558,"Journal of Combinatorial Theory, Series A",, 1096-0899, 0097-3165,,1.1
2559,"Journal of Combinatorial Theory, Series B",, 1096-0902, 0095-8956,,1.4
2560,Journal of Commodity Markets,, 2405-8505, 2405-8513,,4.2
2561,Journal of Communication Disorders,, 1873-7994, 0021-9924,,1.7
2562,Journal of Comparative Economics,, 1095-7227, 0147-5967,,2.7
2563,Journal of Comparative Pathology,, 1532-3129, 0021-9975,,0.8
2564,Journal of Comparative Pathology and Therapeutics, 0368-1742,,,,
2565,Journal of Complexity,, 1090-2708, 0885-064X,,1.7
2566,Journal of Computational Algebra, 2772-8277,,,,
2567,Journal of Computational and Applied Mathematics,, 1879-1778, 0377-0427,,2.4
2568,Journal of Computational Design and Engineering, 2288-4300,,,,
2569,Journal of Computational Mathematics and Data Science,, 2772-4158,,,
2570,Journal of Computational Physics,, 1090-2716, 0021-9991,,4.1
2571,Journal of Computational Physics: X,, 2590-0552,,,4.1
2572,Journal of Computational Science,, 1877-7511, 1877-7503,,3.3
2573,Journal of Computed Tomography, 0149-936X,,,,
2574,Journal of Computer Languages,, 2590-1184, 2665-9182,,2.2
2575,Journal of Computer and System Sciences,, 1090-2724, 0022-0000,,1.1
2576,Journal of Constructional Steel Research,, 1873-5983, 0143-974X,,4.1
2577,Journal of Consumer Psychology, 1057-7408,,,,
2578,Journal of Contaminant Hydrology,, 1873-6009, 0169-7722,,3.6
2579,Journal of Contemporary Accounting & Economics,, 2352-3298, 1815-5669,,3.3
2580,Journal of Contextual Behavioral Science,, 2212-1455, 2212-1447,,5
2581,Journal of Controlled Release,, 1873-4995, 0168-3659,,10.8
2582,Journal of Co-operative Organization and Management,, 2213-2988, 2213-297X,,2.1
2583,Journal of Corporate Finance,, 1872-6313, 0929-1199,,6.1
2584,Journal of CO2 Utilization,, 2212-9839,, 2212-9820,7.7
2585,Journal of Cranio-Maxillofacial Surgery,, 1878-4119, 1010-5182,,3.1
2586,Journal of Creativity, 2713-3745,,,,
2587,Journal of Criminal Justice,, 1873-6203, 0047-2352,,5.5
2588,Journal of Critical Care,, 1557-8615, 0883-9441,,3.7
2589,Journal of Crohn's and Colitis, 1873-9946,,,,
2590,Journal of Crohn's and Colitis Supplements, 1873-9954,,,,
2591,Journal of Crystal Growth,, 1873-5002, 0022-0248,,1.8
2592,Journal of Cultural Heritage,, 1778-3674, 1296-2074,,3.1
2593,Journal of Current Ophthalmology, 2452-2325,,,,
2594,Journal of Cycling and Micromobility Research, 2950-1059,,,,
2595,Journal of Cystic Fibrosis,, 1873-5010, 1569-1993,,5.2
2596,Journal of Dairy Science,, 1525-3198, 0022-0302,,3.5
2597,Journal of Dental Sciences,, 2213-8862, 1991-7902,,3.5
2598,Journal of Dentistry,, 1879-176X, 0300-5712,,4.4
2599,Journal of Dentistry: X,, 1879-176X, 0300-5712,,4.4
2600,Journal of Dermatological Science,, 1873-569X,, 0923-1811,4.6
2601,Journal of Dermatological Science Supplement, 1574-0757,,,,
2602,Journal of Dermatology & Dermatologic Surgery, 2352-2410,,,,
2603,Journal of Destination Marketing & Management,, 2212-5752, 2212-571X,,8.4
2604,Journal of Development Economics,, 1872-6089, 0304-3878,,5
2605,Journal of Diabetes and its Complications,, 1873-460X, 1056-8727,,3
2606,Journal of Diabetic Complications, 0891-6632,,,,
2607,Journal of Differential Equations,, 1090-2732, 0022-0396,,2.4
2608,Journal of Digital Economy, 2773-0670,,,,
2609,Journal d'imagerie diagnostique et interventionnelle,, 2543-3431, 2543-344X,,
2610,Journal of Direct Marketing, 0892-0591,,,,
2611,Journal of Disability Studies in Education, 2588-879X,,,,
2612,Journal of Discrete Algorithms, 1570-8667,,,,
2613,Journal of Drug Delivery Science and Technology,, 2588-8943, 1773-2247,,5
2614,Journal of Econometrics,, 1872-6895, 0304-4076,,6.3
2615,The Journal of Economic Asymmetries,, 2352-8397, 1703-4949,,
2616,Journal of Economic Behavior & Organization,, 1879-1751, 0167-2681,,2.2
2617,Journal of Economic Criminology, 2949-7914,,,,
2618,Journal of Economic Dynamics and Control,, 1879-1743, 0165-1889,,1.9
2619,Journal of Economic Psychology,, 1872-7719, 0167-4870,,3.5
2620,Journal of Economic Theory,, 1095-7235, 0022-0531,,1.6
2621,The Journal of the Economics of Ageing,, 2212-8298, 2212-828X,,2.2
2622,Journal of Economics and Business,, 1879-1735,, 0148-6195,3.8
2623,"Journal of Economics, Finance and Administrative Science", 2077-1886,,,,
2624,Journal of Economy and Technology, 2949-9488,,,,
2625,Journal of the Egyptian Mathematical Society, 1110-256X,,,,
2626,Journal of the Egyptian National Cancer Institute, 1110-0362,,,,
2627,Journal of the Egyptian Society of Cardio-Thoracic Surgery, 1110-578X,,,,
2628,Journal of Electrical Systems and Information Technology, 2314-7172,,,,
2629,Journal of Electroanalytical Chemistry,, 1873-2569, 1572-6657,,4.5
2630,Journal of Electroanalytical Chemistry and Interfacial Electrochemistry, 0022-0728,,,,
2631,Journal of Electroanalytical Chemistry (1959), 0368-1874,,,,
2632,Journal of Electrocardiology,, 1532-8430, 0022-0736,,1.3
2633,Journal of Electromyography and Kinesiology,, 1873-5711, 1050-6411,,2.5
2634,Journal of Electron Spectroscopy and Related Phenomena,, 1873-2526, 0368-2048,,1.9
2635,Journal of Electronic Science and Technology, 1674-862X,,,,
2636,Journal of Electrostatics,, 1873-5738, 0304-3886,,1.8
2637,The Journal of Emergency Medicine,, 1090-1280, 0736-4679,,1.5
2638,Journal of Emergency Nursing,, 1527-2966, 0099-1767,,1.7
2639,Journal of Empirical Finance,, 1879-1727, 0927-5398,,2.6
2640,Journal of Endodontics,, 1878-3554, 0099-2399,,4.2
2641,Journal of Endometriosis and Uterine Disorders, 2949-8384,,,,
2642,Journal of Energy Chemistry,, 2096-885X, 2095-4956,,13.1
2643,Journal of Energy Finance & Development, 1085-7443,,,,
2644,Journal of the Energy Institute,, 1746-0220, 1743-9671,,5.7
2645,Journal of Energy Storage,, 2352-1538, 2352-152X,,9.4
2646,Journal of Engineering Research, 2307-1877,,,,1
2647,Journal of Engineering and Technology Management,, 1879-1719, 0923-4748,,4.8
2648,Journal of English for Academic Purposes,, 1878-1497, 1475-1585,,3
2649,Journal of Environmental Chemical Engineering,, 2213-3437, 2213-2929,,7.7
2650,Journal of Environmental Economics and Management,, 1096-0449, 0095-0696,,4.6
2651,Journal of Environmental Management,, 1095-8630,, 0301-4797,8.7
2652,Journal of Environmental Psychology,, 1522-9610, 0272-4944,,6.9
2653,Journal of Environmental Radioactivity,, 1879-1700, 0265-931X,,2.3
2654,Journal of Environmental Sciences,, 1878-7320, 1001-0742,,6.9
2655,Journal of Epidemiology, 0917-5040,,,,
2656,Journal of Epidemiology and Global Health, 2210-6006,,,,
2657,Journal of Epilepsy, 0896-6974,,,,
2658,Journal of Equine Rehabilitation, 2949-9054,,,,
2659,Journal of Equine Veterinary Science,, 1542-7412, 0737-0806,,1.3
2660,Journal of Ethnic Foods, 2352-6181,,,,
2661,Journal of Ethnopharmacology,, 1872-7573, 0378-8741,,5.4
2662,Journal of EuCornea, 2452-4034,,,,
2663,Journal of Eurasian Studies, 1879-3665,,,,
2664,Journal of the European Academy of Dermatology and Venereology, 0926-9959,,,,
2665,Journal of the European Ceramic Society,, 1873-619X, 0955-2219,,5.7
2666,Journal Européen des Urgences, 0993-9857,,,,
2667,Journal Européen des Urgences et de Réanimation,, 2211-4246, 2211-4238,,
2668,Journal of Evidence-Based Dental Practice,, 1532-3390, 1532-3382,,3.6
2669,Journal of Exercise Science & Fitness,, 2226-5104, 1728-869X,,2.8
2670,Journal of Exotic Pet Medicine,, 1931-6283, 1557-5063,,0.5
2671,Journal of Experimental Animal Science, 0939-8600,,,,
2672,Journal of Experimental Child Psychology,, 1096-0457, 0022-0965,,2.6
2673,Journal of Experimental & Clinical Medicine, 1878-3317,,,,
2674,Journal of Experimental Marine Biology and Ecology,, 1879-1697,, 0022-0981,2
2675,Journal of Experimental Social Psychology,, 1096-0465, 0022-1031,,3.5
2676,Journal of the Faculty of Radiologists, 0368-2242,,,,
2677,Journal of Family Business Strategy,, 1877-8593, 1877-8585,,7.2
2678,Journal of Feline Medicine & Surgery, 1098-612X,,,,
2679,Journal of Fermentation and Bioengineering, 0922-338X,,,,
2680,Journal of Fermentation Technology, 0385-6380,,,,
2681,The Journal of Finance and Data Science,, 2405-9188,,,
2682,Journal of Financial Economics,, 1879-2774, 0304-405X,,8.9
2683,Journal of Financial Intermediation,, 1096-0473, 1042-9573,,5.2
2684,Journal of Financial Markets,, 1878-576X, 1386-4181,,2.8
2685,Journal of Financial Stability,, 1878-0962, 1572-3089,,5.4
2686,Journal of Fluency Disorders,, 1873-801X, 0094-730X,,2.1
2687,Journal of Fluids and Structures,, 1095-8622, 0889-9746,,3.6
2688,Journal of Fluorine Chemistry,, 1873-3328, 0022-1139,,1.9
2689,Journal of Food Composition and Analysis,, 1096-0481, 0889-1575,,4.3
2690,Journal of Food and Drug Analysis, 1021-9498,,,,
2691,Journal of Food Engineering,, 1873-5770, 0260-8774,,5.5
2692,Journal of Food Protection, 0362-028X,,,,2
2693,The Journal of Foot and Ankle Surgery,, 1542-2224, 1067-2516,,1.3
2694,Journal of Forensic and Legal Medicine,, 1878-7487, 1752-928X,,1.5
2695,Journal of Forensic Radiology and Imaging, 2212-4780,,,,
2696,Journal of the Forensic Science Society, 0015-7368,,,,
2697,Journal of Forest Economics, 1104-6899,,,,
2698,Journal of the Formosan Medical Association,, 1876-0821, 0929-6646,,3.2
2699,Journal Français d'Ophtalmologie,, 1773-0597, 0181-5512,,1.2
2700,Journal of the Franklin Institute,, 1879-2693, 0016-0032,,4.1
2701,Journal of Free Radicals in Biology & Medicine, 0748-5514,,,,
2702,Journal of Fuel Chemistry and Technology,, 1872-5813,,,
2703,Journal of Functional Analysis,, 1096-0783, 0022-1236,,1.7
2704,Journal of Functional Foods,, 2214-9414, 1756-4646,,5.6
2705,Journal of Future Foods, 2772-5669,,,,
2706,Journal of Gastrointestinal Surgery, 1091-255X,,,,
2707,Journal of Genetic Engineering and Biotechnology, 1687-157X,,,,
2708,Journal of Genetics and Genomics,, 1873-5533, 1673-8527,,5.9
2709,Journal of Geochemical Exploration,, 1879-1689, 0375-6742,,3.9
2710,Journal of Geodynamics,, 1879-1670, 0264-3707,,2.3
2711,Journal of Geometry and Physics,, 1879-1662, 0393-0440,,1.5
2712,Journal of Geriatric Oncology,, 1879-4076, 1879-4068,,3
2713,Journal of Ginseng Research,, 2093-4947, 1226-8453,,6.3
2714,Journal of Global Antimicrobial Resistance,, 2213-7173, 2213-7165,,4.6
2715,Journal of Government and Economics,, 2667-3193,,,
2716,Journal of Government Information, 1352-0237,,,,
2717,Journal of Great Lakes Research,, 2773-0719, 0380-1330,,2.2
2718,Journal of Greek Linguistics, 1566-5844,,,,
2719,Journal de Gynécologie Obstétrique et Biologie de la Reproduction, 0368-2315,,,,
2720,Journal of Gynecology Obstetrics and Human Reproduction,, 2468-7847, 2468-8495,,1.9
2721,The Journal of Hand Surgery,, 1531-6564, 0363-5023,,1.9
2722,The Journal of Hand Surgery: British & European Volume, 0266-7681,,,,
2723,The Journal of Hand Surgery: European Volume, 1753-1934,,,,
2724,Journal of Hand Surgery Global Online,, 2589-5141,,,1.9
2725,Journal of Hand Therapy,, 1545-004X, 0894-1130,,2
2726,Journal of Hazardous Materials,, 1873-3336, 0304-3894,,13.6
2727,Journal of Hazardous Materials Advances, 2772-4166,,,,
2728,Journal of Hazardous Materials Letters,, 2666-9110,,,13.6
2729,Journal of Health Economics,, 1879-1646, 0167-6296,,3.5
2730,Journal of Healthcare Quality Research,, 2603-6479,,,1.2
2731,The Journal of Heart and Lung Transplantation,, 1557-3117, 1053-2498,,8.9
2732,Journal of Heat Recovery Systems, 0198-7593,,,,
2733,Journal of Hepatology,, 1600-0641, 0168-8278,,25.7
2734,Journal of Herbal Medicine,, 2210-8041, 2210-8033,,2.3
2735,Journal of Heterocyclic Chemistry, 0022-152X,,,,
2736,Journal of High Energy Astrophysics,, 2214-4056, 2214-4048,,3.8
2737,The Journal of High Technology Management Research,, 1879-1638, 1047-8310,,
2738,Journal of Historical Geography,, 1095-8614, 0305-7488,,1
2739,Journal of Holistic Integrative Pharmacy, 2707-3688,,,,
2740,Journal of Hospital Infection,, 1532-2939, 0195-6701,,6.9
2741,"Journal of Hospitality, Leisure, Sport & Tourism Education",, 1473-8376,,,3.7
2742,Journal of Hospitality and Tourism Management,, 1839-5260, 1447-6770,,8.3
2743,Journal of Housing Economics,, 1096-0791, 1051-1377,,2.4
2744,Journal of Human Evolution,, 1095-8606, 0047-2484,,3.2
2745,"Journal of Hydrodynamics, Ser. B", 1001-6058,,,,
2746,Journal of Hydro-environment Research,, 1876-4444, 1570-6443,,2.8
2747,Journal of Hydrology,, 1879-2707, 0022-1694,,6.4
2748,Journal of Hydrology: Regional Studies,, 2214-5818,,,4.7
2749,Journal of Hydrology X,, 2589-9155,,,4
2750,Journal of Immunological Methods,, 1872-7905, 0022-1759,,2.2
2751,Journal of Income Distribution, 0926-6437,,,,
2752,Journal of the Indian Chemical Society,, 2667-2847,, 0019-4522,0.2
2753,Journal of Indian College of Cardiology, 1561-8811,,,,
2754,Journal of Industrial and Engineering Chemistry,, 1876-794X, 1226-086X,,6.1
2755,Journal of Industrial Information Integration,, 2452-414X, 2467-964X,,15.7
2756,Journal of Infection,, 1532-2742, 0163-4453,,28.2
2757,Journal of Infection and Chemotherapy,, 1437-7780, 1341-321X,,2.2
2758,Journal of Infection and Public Health,, 1876-035X, 1876-0341,,6.7
2759,Journal of Information and Intelligence, 2949-7159,,,,
2760,Journal of Information Security and Applications,, 2214-2134, 2214-2126,,5.6
2761,Journal of Informetrics,, 1875-5879, 1751-1577,,3.7
2762,Journal of Innovation in Digital Ecosystems, 2352-6645,,,,
2763,Journal of Innovation & Knowledge,, 2444-569X, 2530-7614,,18.1
2764,Journal of Inorganic Biochemistry,, 1873-3344, 0162-0134,,3.9
2765,Journal of Inorganic and Nuclear Chemistry, 0022-1902,,,,
2766,Journal of Insect Physiology,, 1879-1611, 0022-1910,,2.2
2767,Journal of Integrative Agriculture,, 2352-3425, 2095-3119,,4.8
2768,Journal of Integrative Medicine,, 2773-0727, 2095-4964,,4.8
2769,Journal of Intensive Medicine,, 2667-100X,,,
2770,Journal of Interactive Marketing, 1094-9968,,,,
2771,"Journal of International Accounting, Auditing and Taxation",, 1879-1603, 1061-9518,,2.6
2772,Journal of International Economics,, 1873-0353, 0022-1996,,3.3
2773,"Journal of International Financial Markets, Institutions and Money",, 1873-0612, 1042-4431,,4
2774,Journal of International Management,, 1873-0620, 1075-4253,,6.1
2775,Journal of International Money and Finance,, 1873-0639, 0261-5606,,2.5
2776,Journal of Interprofessional Education & Practice,, 2405-4526,,,
2777,Journal of Interventional Medicine,, 2590-0293,, 2096-3602,
2778,Journal of Invertebrate Pathology,, 1096-0805, 0022-2011,,3.4
2779,Journal of Investigative Dermatology,, 1523-1747, 0022-202X,,6.5
2780,Journal of Investigative Dermatology Symposium Proceedings,, 1529-1774, 1087-0024,,
2781,Journal of Ionic Liquids, 2772-4220,,,,
2782,"Journal of Iron and Steel Research, International", 1006-706X,,,,
2783,Journal of ISAKOS, 2059-7754,,,,1.6
